,theta_mom,theta_me,theta_btm,,,,,
297,-0.064836481,0.005885591338213165,-0.04100246,,,,,
298,-0.036215648,-0.013164073,-0.061580633,,,,,
299,-0.036215648,-0.013164073,-0.061580633,,,,,
300,-0.05323039,-0.010380746,-0.059121801,,,,,
301,-0.05323039,-0.010380746,-0.059121801,,,,,
302,-0.064716721,-0.053269414,-0.018619701,,,,,
303,-0.064716721,-0.053269414,-0.018619701,,,,,
304,-0.059251386,-0.079319727,-0.041258017,,,,,
305,-0.064474049,-0.098104362,-0.001396011,,,,,
306,-0.064474049,-0.098104362,-0.001396011,,,,,
307,-0.064474049,-0.098104362,-0.001396011,,,,,
308,-0.064474049,-0.098104362,-0.001396011,,,,,
309,-0.029119851,-0.092966323,-0.023648999,,,,,
310,0.030342851498332414,-0.089787079,-0.028561261,,,,,
311,0.030342851498332414,-0.089787079,-0.028561261,,,,,
312,0.020348478488114077,-0.097049715,0.003758843768654728,,,,,
313,-0.007666606,-0.108871536,0.02604244732902841,,,,,
314,0.05041249338518461,-0.081932646,-0.01175383,,,,,
315,0.0047034734381079385,-0.04333622,-0.034687534,,,,,
316,-0.00386056,-0.02696158,-0.007065535,,,,,
317,-0.023619276,-0.019303502,-0.054593306,,,,,
318,-0.023619276,-0.019303502,-0.054593306,,,,,
319,-0.021956688,-0.038068074,-0.07190789,,,,,
320,-0.021956688,-0.038068074,-0.07190789,,,,,
321,-0.021956688,-0.038068074,-0.07190789,,,,,
322,-0.024519209,-0.046731092,-0.036156555,,,,,
323,-0.077346336,-0.01206061,-0.040727242,,,,,
324,-0.077346336,-0.01206061,-0.040727242,,,,,
325,-0.086409928,0.0143209609692087,-0.041421773,,,,,
326,-0.091697892,0.019834353879162405,-0.020561342,,,,,
327,-0.096298072,0.021470181727304527,0.029317700162823652,,,,,
328,-0.096298072,0.021470181727304527,0.029317700162823652,,,,,
329,-0.101290205,0.05626947153004508,0.010088433768321914,,,,,
330,-0.101290205,0.05626947153004508,0.010088433768321914,,,,,
331,-0.086429119,0.07296995797835482,-0.025548672,,,,,
332,-0.039779471,0.08574311601694891,-0.056136205,,,,,
333,-0.024430474,0.05828631071608932,-0.038689625,,,,,
334,-0.024430474,0.05828631071608932,-0.038689625,,,,,
335,-0.03063532,0.0017214610887771598,-0.037033112,,,,,
336,0.01966220610061147,-0.037630869,-0.07629132,,,,,
337,0.01966220610061147,-0.037630869,-0.07629132,,,,,
